Unnamed: 0,Unnamed: 1
,บุรีรัมย์  ทต.ละหานทราย  พัสดุชำรุด  จำนวน  8  รายการ
,พระนครศรีอยุธยา  กฟภ.  หม้อแปลงชำรุด  จำนวน  3  รายการ
,พิจิตร  ทต.บางมูลนาก  พัสดุชำรุด  จำนวน  25  รายการ
,ยะลา  ทน.ยะลา  พัสดุชำรุด  จำนวน  791  รายการ
,ระยอง  กฟภ.บ้านค่าย  หม้อแปลงชำรุด  จำนวน  3  เครื่อง
,เลย  สนง.สหกรณ์  ยานพาหนะ  จำนวน 1  รายการ
,ศรีสะเกษ  ด่านศุลกากรช่องสะงำ  ยานพาหนะ  จำนวน  1  รายการ
,สมุทรสงคราม  รพ.อัมพวา  พัสดุชำรุด  จำนวน  71  รายการ
,สุพรรณบุรี  สนง.อัยการ  ยานพาหนะ  จำนวน  1  รายการ
,อุตรดิตถ์  สนง.แผ่นดินภูมิภาคที่  9  เศษวัสดุก่อสร้าง(เศษเหล็ก)  จากการรื้อถอน
,อุบลราชธานี  กสทช.เขต 22  บ้านพักราชการ  ครุภัณฑ์ชำรุด  จำนวน  9  รายการ
,อุบลราชธานี  สพม.  ต้นไม้ในที่ราชพัสดุ  จำนวน  24  ต้น
10 มี.ค. 2569,กทม.  กรมส่งเสริมการเกษตร  พัสดุชำรุด  จำนวน  44  รายการ
,กทม.  ศาลแรงงานกลาง  ยานพาหนะ  จำนวน  1  คัน
,กทม.  ส.ป.ก.  พัสดุชำรุด  จำนวน  120  รายการ
,กระบี่  สนง.ทางหลวงที่  17  พัสดุชำรุด  จำนวน  62  รายการ
,กำแพงเพชร  ตำรวจภูธรจังหวัด  พัสดุชำรุด  จำนวน  91  รายการ
,จันทบุรี  กฟภ.สอยดาว  หม้อแปลงชำรุด  จำนวน  9  เครื่อง
,จันทบุรี  กฟภ.  หม้อแปลงชำรุด  จำนวน  2  เครื่อง
,ฉะเชิงเทรา  กปภ.  พัสดุชำรุด  จำนวน  78  รายการ
,ชลบุรี  ไปรษณีย์ไทย  รถยนต์  จำนวน  1  รายการ
,ชลบุรี  สตง.ภูมิภาคที่  2  พัสดุชำรุด  จำนวน  58  รายการ
,ตรัง  สนง.บังคับคดี  พัสดุชำรุด  จำนวน  90  รายการ
,ตาก  สนง.อัยการ  ไม้  จำนวน  75  ท่อน
,นครปฐม  ทต.ธรรมศาลา  พัสดุชำรุด  จำนวน  61  รายการ
,นครปฐม  ม.มหิดล  พัสดุชำรุด  จำนวน  239  รายการ
,นครราชสีมา  สนง.บังคับคดี  ต้นยางพารา  จำนวน  500  ต้น
,นนทบุรี  ทม.บางรักพัฒนา  พัสดุชำรุด  จำนวน  426  รายการ
,นนทบุรี  สนง.บังคับคดี  ยานพาหนะ  จำนวน  3  คัน
,นนทบุรี  สพม.  อาคารเรียน  จำนวน  1  หลัง  (รร.วัดเขมาภิรตารม)
,ปทุมธานี  สพป.เขต  1  อาคารและสิ่งปลูกสร้าง  จำนวน  11  รายการ
,ประจวบคีรีขันธ์  สนง.ทางหลวงที่  15  ยานพาหนะ  จำนวน  3  รายการ
,พัทลุง  แขวงทางหลวง  ครุภัณฑ์ชำรุด  จำนวน  50  รายการ
,พิษณุโลก  วิทยาลัยเทคนิคพิษณุโลก  พัสดุชำรุด  จำนวน  133  รายการ
,ลำปาง  สตง.แผ่นดินภูมิภาคที่  9  กระดาษที่ไม่ได้ใช้ประโยชน์
,เลย  สนง.บังคับคดี  รถยนต์  จำนวน  1  คัน(กจ3381)
,สงขลา  รพ.กระแสสินธุ์  พัสดุชำรุด  จำนวน  111  รายการ
,สุพรรณบุรี  โครงการชลประทาน  ยานพาหนะ  จำนวน  1  รายการ
,สุราษฎร์ธานี  ด่านศุลกากรบ้านดอน   เก้าอื้  จำนวน  3  ตัว
,อุตรดิตถ์  สนง.ทางหลวงชนบทที่  9  ยานพาหนะ  จำนวน  2  รายการ
,อุบลราชธานี  ศูนย์วิจัยและบำรุงพันธุ์สัตว์  พัสดุชำรุด  จำนวน  5  รายการ
11 มี.ค. 2569,กทม.  กปน.  มาตรวัดน้ำ  จำนวน  39  รายการ  (ลงชื่อ  9-10  มี.ค.)
,กทม.  กรมทรัพย์สินทางปัญญา  ยานพาหนะ  พัสดุชำรุด  จำนวน  567  รายการ
,กทม.  กรมธนารักษ์  หม้อแปลงไฟฟ้าชำรุด  จำนวน  1  เครื่อง
,กทม.  บมจ.โทรคมนาคมแห่งชาติ  สินทรัพย์ถาวรชำรุด  จำนวน  84  รายการ
,กทม.  สนง.สส.ชสอ.  ยานพาหนะ  จำนวน  1  คัน
,ชลบุรี  ไปรษณีย์ไทย  รถยนต์  จำนวน  1  รายการ (2ฒก.-9583)
,ชลบุรี  ไปรษณีย์ไทย  รถยนต์  จำนวน  1  รายการ  (ขธ.4699)
,ชัยภูมิ  สนง.บังคับคดี  รถจักรยานยนต์  จำนวน  1  คัน(1กบ219)
,เชียงใหม่  มช.  ครุภัณฑ์ชำรุด  จำนวน  228  รายการ
,เชียงใหม่  มช.  ครุภัณฑ์ชำรุด  จำนวน  256  รายการ
,ตราด  ไปรษณีย์ไทย  รถยนต์  จำนวน  1  รายการ
